name,issuer_num,fossil_sum_prev_q,quantity_sum_prev_q,fossil_sum_curr_q,quantity_sum_curr_q,fossil_quantity_diff,fossil_sum_diff
AESGEN,10134,161609.731638756,54425000.0,160160.01269608,54425000.0,0.0,-1449.7189426760015
ORO NEGRO DRIL,12824,6629.226414395001,23569236.009999998,6566.187347264249,23569236.009999998,0.0,-63.03906713075139
PEMEX,12345,526939.9305866819,151142000.0,512900.74400050356,151142000.0,0.0,-14039.186586178374
WPLAU,13112,257804.3731536,69625000.0,0.0,0.0,-69625000.0,-257804.3731536
או פי סי אנרגיה חסום,1682,294818.484588687,9375000.0,296257.64215790003,10029041.27,654041.2699999996,1439.1575692130136
אייסיאל,281,867797.4964579999,62303664.0,946424.1740204999,63309664.0,1006000.0,78626.6775625
אלקו החזקות,694,65261.598,336400.0,97913.20265,488268.0,151868.0,32651.60465000001
דלק רכב,829,715834.7548,15837052.0,680993.232,15837052.0,0.0,-34841.522800000035
לפידות קפט אג,642,32971.356,20080000.0,30662.156,20080000.0,0.0,-2309.2000000000007
תמר פטרוליום,1689,138155.271997565,131713683.78,135170.351468062,126762283.15,-4951400.629999995,-2984.920529502997
