Name,security_num,issuer_or_corp_num,is_fossil
טיב טעם,103010,520041187,0.0
"טיב טעם- טיב טעם הולדינגס 1 בע""מ",103010,520041187,0.0
"*המלט- המ-לט (ישראל-קנדה) בע""מ",1080324,520041575,0.0
המ-לט,1080324,520041575,0.0
המלט,1080324,520041575,0.0
"המלט(ישראל קנדה) מ""ר 1",1080324,520041575,0.0
המלט*,1080324,520041575,0.0
רימוני,1080456,520041823,0.0
"רימוני תעשיות מ""ר 1",1080456,520041823,0.0
גמאטרוניק,1080522,520041872,0.0
סאטקום מערכות,1080597,520041674,0.0
סאטקום - הפחתה,10805970,520041674,0.0
אנליסט,1080613,520041963,0.0
"אנליסט- אנליסט אי.אמ.אס.-שרותי ניהול השקעות בע""מ",1080613,520041963,0.0
איזי אנרגיה,1080688,520041773,0.0
אילקס מדיקל,1080753,520042219,0.0
"אילקס מדיקל מ""ר",1080753,520042219,0.0
"אילקס מדיקל- אילקס מדיקל בע""מ",1080753,520042219,0.0
"שניב תעשיות נייר בע""מ מ""ר 1",1080837,520041732,0.0
"שניב- שניב תעשיות נייר בע""מ",1080837,520041732,0.0
אינטר תעשיות*,1080928,520042458,0.0
ישרוטל,1080985,520042482,0.0
"ישרוטל- ישרוטל בע""מ",1080985,520042482,0.0
איסתא,1081074,520042763,0.0
איסתא*,1081074,520042763,0.0
איסתא- איסתא,1081074,520042763,0.0
"איסתא- איסתא ליינס בע""מ",1081074,520042763,0.0
אלביט הדמיה,1081116,520043035,0.0
אלביט הדמיה רפואית 1,1081116,520043035,0.0
אלביט מערכות,1081124,520043027,0.0
אלביט מערכות דואלי,1081124,520043027,0.0
אלביט מערכות- אלביט מערכות,1081124,520043027,0.0
"אלביט מערכות- אלביט מערכות בע""מ",1081124,520043027,0.0
אלביט מערכות  - הפחתה,10811240,520043027,0.0
אלביט מערכות דואלי חסום,10811240,520043027,0.0
מגדל,1081165,520029984,0.0
מגדל ביטוח,1081165,520029984,0.0
"מגדל ביטוח- מגדל אחזקות ביטוח ופיננסים בע""מ",1081165,520029984,0.0
"מגדל ביטוח- מגדל חברה לביטוח בע""מ",1081165,520029984,0.0
"*לודן- לודן חברה להנדסה בע""מ",1081439,520043381,0.0
לודן*,1081439,520043381,0.0
"לודן- לודן חברה להנדסה בע""מ",1081439,520043381,0.0
"*בית שמש- מנועי בית שמש אחזקות (1997) בע""מ",1081561,520043480,0.0
בית שמש,1081561,520043480,0.0
מנועי בית שמש אחזקות (1997)- מנועי בית שמש אחזקות (1997),1081561,520043480,0.0
מנועי בית שמש*,1081561,520043480,0.0
"*פלסאון תעשיות- פלסאון תעשיות בע""מ",1081603,520042912,0.0
פלסאון תעשיות,1081603,520042912,0.0
"פלסאון תעשיות בע""מ מ""ר",1081603,520042912,0.0
פלסאון תעשיות*,1081603,520042912,0.0
סאמיט,1081686,520043720,0.0
"סאמיט- סאמיט אחזקות נדל""ן בע""מ",1081686,520043720,0.0
"סאמיט- סאמיט אחזקות נדל""ן.",1081686,520043720,0.0
סאמיט - הפחתה,10816860,520043720,0.0
דש איפקס,1081843,520043795,0.0
מיטב דש,1081843,520043795,0.0
מיטב דש השקעות,1081843,520043795,0.0
"מיטב דש- מיטב דש השקעות בע""מ",1081843,520043795,0.0
שיכון ובינוי,1081942,520036104,0.0
"שיכון ובינוי- שיכון ובינוי - אחזקות בע""מ",1081942,520036104,0.0
"שיכון ובינוי- שיכון ובינוי בע""מ",1081942,520036104,0.0
מג'יק,1082312,520036740,0.0
מג'יק תעשיות תכנה דואלי,1082312,520036740,0.0
מג'יק*,1082312,520036740,0.0
מג'יק- מג'יק,1082312,520036740,0.0
"מג'יק- מג'יק תעשיות תכנה בע""מ",1082312,520036740,0.0
מגיק,1082312,520036740,0.0
סאני תקשורת,1082353,520031808,0.0
סאני תקשורת (סקיילקס),1082353,520031808,0.0
סאני תקשורת*,1082353,520031808,0.0
"סאני תקשורת- סאני תקשורת סלולרית  בע""מ",1082353,520031808,0.0
סקיילקס,1082353,520031808,0.0
טאואר,1082379,520041997,0.0
טאואר (דואלי),1082379,520041997,0.0
טאואר סמיקונדקטור,1082379,520041997,0.0
טאואר*,1082379,520041997,0.0
טאואר- טאואר,1082379,520041997,0.0
"טאואר- טאואר סמיקונדקטור בע""מ",1082379,520041997,0.0
גילת,1082510,520038936,0.0
"גילת- גילת רשתות לווין בע""מ",1082510,520038936,0.0
תפרון,1082585,520043407,0.0
אלומיי,1082635,520039868,0.0
"אלומיי קפיטל- אלומיי קפיטל בע""מ",1082635,520039868,0.0
אלומיי*,1082635,520039868,0.0
אלומיי - הפחתה,10826350,520039868,0.0
אלומיי קפיטל - הפחתה,10826350,520039868,0.0
תאת טכנולוגיות,1082726,520035791,0.0
"תאת טכנולוגיות- תאת טכנולוגיות בע""מ",1082726,520035791,0.0
אודיוקודס,1082965,520044132,0.0
"אודיוקודס- אודיוקודס בע""מ",1082965,520044132,0.0
"אינטרנט זהב- אינטרנט גולד - קווי זהב בע""מ",1083443,520044264,0.0
חברת פרטנר תקשורת דואלי,1083484,520044314,0.0
פרטנר,1083484,520044314,0.0
פרטנר בכספת U בנק,1083484,520044314,0.0
פרטנר*,1083484,520044314,0.0
"פרטנר- חברת פרטנר תקשורת בע""מ",1083484,520044314,0.0
פרטנר- פרטנר תקשורת,1083484,520044314,0.0
יוניטרוניקס,1083831,520044199,0.0
"קווליטאו בע""מ מר 1",1083955,511896540,0.0
"קווליטאו- קווליטאו בע""מ",1083955,511896540,0.0
אי.אל.די,1084003,511029373,0.0
אי.אל.די אדוונסט לוגיסטיקס מר'1,1084003,511029373,0.0
"אי.אל.די- אי.אל.די. אדוונסד לוגיסטיקס דוולופמנטס בע""מ",1084003,511029373,0.0
דלק קבוצה,1084128,520044322,1.0
דלק קבוצה- דלק קבוצה,1084128,520044322,1.0
קבוצת דלק,1084128,520044322,1.0
"קבוצת דלק בע""מ מ""ר 1",1084128,520044322,1.0
קנביט - הפחתה,10843670,512101460,0.0
פועלים איביאי*,1084482,511819617,0.0
"פועלים איביאי- פועלים אי.בי.אי.-ניהול וחיתום בע""מ",1084482,511819617,0.0
נובה,1084557,511812463,0.0
נובה דואלי,1084557,511812463,0.0
נובה*,1084557,511812463,0.0
נובה- נובה,1084557,511812463,0.0
"נובה- נובה מכשירי מדידה בע""מ",1084557,511812463,0.0
"*חילן טק- חילן טק בע""מ",1084698,520039942,0.0
חילן טק,1084698,520039942,0.0
"חילן טק מ""ר 1",1084698,520039942,0.0
חילן טק*,1084698,520039942,0.0
"חילן טק- חילן טק בע""מ",1084698,520039942,0.0
"עילוי פיננסי מ""ר 1 -ס",1084763,512882804,0.0
"סינאל תעשיות בע""מ מר",1084953,511416612,0.0
סינאל,1084953,511416612,0.0
"סינאל- סינאל מלל פייווי בע""מ",1084953,511416612,0.0
קומפיוגן,1085208,511779639,0.0
ארן*,1085265,510959596,0.0
"ארן- ארן מחקר ופיתוח (1982) בע""מ",1085265,510959596,0.0
"גמול מ""ר",1086206,1134,0.0
"*או.אר.טי- או.אר.טי.טכנולוגיות בע""מ",1086230,513057588,0.0
"או.אר.טי- או.אר.טי.טכנולוגיות בע""מ",1086230,513057588,0.0
אוארטי,1086230,513057588,0.0
אוארטי*,1086230,513057588,0.0
פוקס,1087022,512157603,0.0
פוקס ויזל,1087022,512157603,0.0
"פוקס- ויזל- פוקס-ויזל בע""מ",1087022,512157603,0.0
פוקס- פוקס,1087022,512157603,0.0
סאפיינס,1087659,1146,0.0
סאפיינס- סאפיינס,1087659,53368,0.0
סאפיינס- סאפיינס אינטרנשיונל קורפוריישן N.V,1087659,1146,0.0
סאפינס דואלי,1087659,53368,0.0
סאפינס*,1087659,1146,0.0
ספיאנס,1087659,53368,0.0
אל על,1087824,520017146,0.0
קרדן אן.וי 2.0 יורו,1087949,1154,0.0
קרדן נ.ו,1087949,NV1239114,0.0
ספאנטק,1090117,512288713,0.0
תדיר גן,1090141,511870891,0.0
"תדיר גן- תדיר-גן (מוצרים מדוייקים) 1993 בע""מ",1090141,511870891,0.0
דמרי,1090315,511399388,0.0
"דמרי בניה ופיתוח מ""ר",1090315,511399388,0.0
"דמרי- י.ח דמרי בניה ופיתוח בע""מ",1090315,511399388,0.0
"דמרי- י.ח.דמרי בניה ופיתוח בע""מ",1090315,511399388,0.0
דמרי חסום,10903150,511399388,0.0
"*אלספק- אלספק הנדסה בע""מ",1090364,511297541,0.0
אלספק,1090364,511297541,0.0
אלספק*,1090364,511297541,0.0
שלאג,1090547,513507574,0.0
שלאג,1090547,1198,0.0
"שלאג- שלא""ג תעשיות בע""מ",1090547,513507574,0.0
"*רם-און- רם-און השקעות והחזקות (1999) בע""מ",1090943,512776964,0.0
רם און,1090943,512776964,0.0
רם און*,1090943,512776964,0.0
"רם-און- רם-און השקעות והחזקות (1999) בע""מ",1090943,512776964,0.0
"*מיטרוניקס- מיטרוניקס בע""מ",1091065,511527202,0.0
מיטרוניקס,1091065,511527202,0.0
מיטרוניקס*,1091065,511527202,0.0
לפידות חלץ יהש- לפידות-חלץ - שותפות מוגבלת,1091248,550217129,1.0
אפי נכסים,1091354,510560188,0.0
אפריקה נכסים,1091354,510560188,0.0
"אפריקה נכסים- אפי נכסים בע""מ",1091354,510560188,0.0
אפריקה נכסים- אפריקה נכסים,1091354,510560188,0.0
"*ארד- ארד בע""מ",1091651,510007800,0.0
ארד,1091651,510007800,0.0
"ארד מ""ר",1091651,510007800,0.0
ארד*,1091651,510007800,0.0
"ארד- ארד בע""מ",1091651,510007800,0.0
"פיסיבי טכנולוגיות- פי.סי.בי. טכנולוגיות בע""מ",1091685,511888356,0.0
"*גולן פלסטיק- גולן מוצרי פלסטיק בע""מ",1091933,513029975,0.0
גולן מוצרי פלסטיק,1091933,513029975,0.0
גולן פלסטיק,1091933,513029975,0.0
גולן פלסטיק*,1091933,513029975,0.0
"גולן פלסטיק- גולן מוצרי פלסטיק בע""מ",1091933,513029975,0.0
"עמיר שיווק- עמיר שיווק והשקעות בחקלאות בע""מ",1092204,513615286,0.0
חלל,1092345,511396046,0.0
חלל- חלל תקשורת,1092345,511396046,0.0
בי גי איי,1092709,510291750,0.0
"בי.ג'י.איי (שימור)- בי.ג'י.איי השקעות (1961) בע""מ",1092709,510291750,0.0
ביג'יאיי- בי ג'י איי,1092709,510291750,0.0
"*פלסטופיל- חברת פלסטופיל הזורע בע""מ",1092840,513681247,0.0
פלסטופיל*,1092840,513681247,0.0
דור אלון,1093202,520043878,1.0
"אלקטרה נדל""ן מנ",1094044,510607328,0.0
"אלקטרה נדל""ן",1094044,510607328,0.0
אלקטרה נדלן,1094044,510607328,0.0
אלקטרה נדלן*,1094044,510607328,0.0
קמהדע,1094119,511524605,0.0
"קמהדע- קמהדע בע""מ",1094119,511524605,0.0
ברימאג,1094283,511786378,0.0
"ברימאג דיגיטל אייג' מ""ר",1094283,511786378,0.0
"ברימאג- ברימאג דיגיטל אייג' בע""מ",1094283,511786378,0.0
ברם תעשיות,1094515,513579482,0.0
אופל,1094986,513734566,0.0
"אופל בלאנס- אופל בלאנס השקעות בע""מ",1094986,513734566,0.0
מילומור סחר,1094986,513734566,0.0
"דקסיה אג""ח ב",1095066,513704304,0.0
